from	relation	to	trit
_enroll_larql_in_cgroup	implements	cgroup-enrollment	1
_larql_cleanup	calls	_LARQL_SERVER_PID	1
_run_goose_call	implements	rate-limit-detection	1
_run_goose_larql	calls	_run_goose_call	1
_run_goose_openrouter	calls	_run_goose_call	1
_start_larql_server	calls	_check_larql	1
_start_larql_server	calls	_enroll_larql_in_cgroup	1
_start_larql_server	calls	_larql_find_server_pid	1
_start_larql_server	implements	fast-fail-on-launcher-error	1
_start_larql_server	implements	server-startup-poll	1
coding-agent	defines	_check_larql	1
coding-agent	defines	_larql_cleanup	1
coding-agent	defines	_larql_find_server_pid	1
coding-agent	defines	_run_goose_larql	1
coding-agent	defines	_run_goose_openrouter	1
coding-agent	defines	usage	1
coding-agent	implements	goose-error-detection	1
coding-agent	implements	larql-provider	1
coding-agent	implements	larql-server-lifecycle	1
coding-agent	implements	openrouter-provider	1
coding-agent	implements	provider-routing	1
coding-agent	invokes	awk	1
coding-agent	invokes	ss	1
coding-agent	invokes	sudo	1
coding-agent	is_a	script	1
coding-agent	sets_env	CGROUP_NAME	1
coding-agent	sets_env	CGROUP_ROOT	1
coding-agent	sets_env	GOOSE_BIN	1
coding-agent	sets_env	LARQL_BIN	1
coding-agent	sets_env	LARQL_INFERENCE_TIMEOUT	1
coding-agent	sets_env	LARQL_LOG_FILE	1
coding-agent	sets_env	LARQL_NO_CGROUP	1
coding-agent	sets_env	LARQL_PORT	1
coding-agent	sets_env	LARQL_START_TIMEOUT	1
coding-agent	sets_env	LARQL_VINDEX	1
coding-agent	sets_env	OPENROUTER_CHECK_URL	1
coding-agent	sets_env	OPENROUTER_MODEL	1
curl	defines	_log	1
curl	invokes	larql	1
curl	is_a	external_binary	1
curl	mocks	curl	1
demo-coding-agent	invokes	larql	1
goose	is_a	external_binary	1
goose	mocks	goose	1
harness-common	defines	_check_openrouter	1
harness-common	implements	openrouter-health-check	1
harness-common	invokes	curl	1
harness-common	is_a	library	1
harness-common	reads_env	OPENROUTER_CHECK_URL	1
larql	is_a	external_binary	1
larql	mocks	larql	1
pi	invokes	awk	1
pi-harness	calls	_check_openrouter	1
pi-harness	defines	_check_ollama	1
pi-harness	defines	_enroll_ollama_in_cgroup	1
pi-harness	defines	_repair_ollama	1
pi-harness	defines	_select_provider_model	1
pi-harness	defines	_setup_cgroup	1
pi-harness	defines	_warmup_ollama_model	1
pi-harness	defines	cmd_repair	1
pi-harness	defines	cmd_run	1
pi-harness	defines	cmd_status	1
pi-harness	defines	usage	1
pi-harness	implements	cgroup-enforcement	1
pi-harness	implements	ollama-provider	1
pi-harness	implements	openrouter-provider	1
pi-harness	invokes	pgrep	1
pi-harness	invokes	sudo	1
pi-harness	is_a	script	1
pi-harness	reads_env	CGROUP_NAME	1
pi-harness	sets_env	CGROUP_CPU_RESERVE_CORES	1
pi-harness	sets_env	CGROUP_ROOT	1
pi-harness	sets_env	OLLAMA_MODEL	1
pi-harness	sets_env	OLLAMA_URL	1
pi-harness	sets_env	OLLAMA_WARMUP_POLL_INTERVAL	1
pi-harness	sets_env	OLLAMA_WARMUP_TIMEOUT	1
pi-harness	sets_env	OPENROUTER_CHECK_URL	1
pi-harness	sets_env	OPENROUTER_MODEL	1
pi-harness	sets_env	PI_BIN	1
test-coding-agent	defines	assert_contains	1
test-coding-agent	defines	assert_exit	1
test-coding-agent	defines	assert_fail	1
test-coding-agent	defines	assert_pass	1
test-coding-agent	invokes	ss	1
test-coding-agent	invokes	timeout	1
test-coding-agent	is_a	test_suite	1
test-coding-agent	reads_env	LARQL_PORT	1
test-coding-agent	uses_mock	goose	1
test-coding-agent	uses_mock	larql	1
test-pi-harness	defines	assert_contains	1
test-pi-harness	defines	assert_exit	1
test-pi-harness	defines	setup_cgroup_tmpdir	1
test-pi-harness	is_a	test_suite	1
test-pi-harness	uses_mock	curl	1
